molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2425473,O=C(CC(O)c1ccc(OCc2ccccc2)cc1)NO,61500.0
CHEMBL2425472,COc1ccc(C(O)CC(=O)NO)cc1,75100.0
CHEMBL2425468,COc1cccc(C(O)CC(=O)NO)c1,23200.0
CHEMBL2425467,O=C(CC(O)c1cccc(O)c1)NO,131000.0
CHEMBL2425466,O=C(CC(O)c1ccccc1F)NO,5600.0
CHEMBL2425464,COc1ccccc1C(O)CC(=O)NO,38500.0
CHEMBL2425463,O=C(CC(O)c1ccccc1)NO,15600.0
CHEMBL3594254,O=[N+]([O-])c1cccc(NCc2ccc(O)c(O)c2)c1,9520.0
CHEMBL3594253,O=[N+]([O-])c1ccc(CNc2ccc([N+](=O)[O-])cc2)cc1,126200.0
CHEMBL3594252,O=[N+]([O-])c1ccc(NCc2ccc(Cl)cc2)cc1,83800.0
CHEMBL3594251,O=[N+]([O-])c1ccc(NCc2ccc(O)cc2)cc1,28100.0
CHEMBL3594250,O=[N+]([O-])c1ccc(NCc2ccc(O)c(O)c2)cc1,1920.0
CHEMBL3593638,COc1ccc(NCc2cccc([N+](=O)[O-])c2)cc1,319200.0
CHEMBL3593637,COc1ccc(NCc2ccc(Cl)cc2)cc1,500000.0
CHEMBL3594268,COc1ccc(NCc2ccc(N(C)C)cc2)cc1,500000.0
CHEMBL3594267,O=[N+]([O-])c1cccc(CNc2cccc(Cl)c2)c1,410300.0
CHEMBL3594266,O=[N+]([O-])c1ccc(CNc2cccc(Cl)c2)cc1,236500.0
CHEMBL3594265,O=[N+]([O-])c1ccccc1CNc1ccc(Cl)cc1,238700.0
CHEMBL3594264,CN(C)c1ccc(CNc2ccc(Cl)cc2)cc1,500000.0
CHEMBL3594263,Clc1ccc(NCc2ccc3c(c2)OCO3)cc1,500000.0
CHEMBL3594262,COc1ccc(CNc2ccc(Cl)cc2)cc1OC,500000.0
CHEMBL3594261,O=[N+]([O-])c1ccccc1NCc1ccc(O)c(O)c1,45100.0
CHEMBL3594260,O=[N+]([O-])c1cccc(CNc2cccc([N+](=O)[O-])c2)c1,85000.0
CHEMBL3594259,O=[N+]([O-])c1ccc(CNc2cccc([N+](=O)[O-])c2)cc1,64900.0
CHEMBL3594258,O=[N+]([O-])c1cccc(NCc2ccc(Cl)cc2)c1,57500.0
CHEMBL3594257,CN(C)c1ccc(CNc2cccc([N+](=O)[O-])c2)cc1,16800.0
CHEMBL3594256,O=[N+]([O-])c1cccc(NCc2ccc3c(c2)OCO3)c1,13100.0
CHEMBL3594255,COc1ccc(CNc2cccc([N+](=O)[O-])c2)cc1OC,50400.0
CHEMBL3601582,O=C1OCC(O)=C1c1ccccc1,89000.0
CHEMBL3601583,O=C1OCC(O)=C1c1ccccc1F,75000.0
CHEMBL3601584,O=C1OCC(O)=C1c1ccccc1Cl,68000.0
CHEMBL3601585,Cc1ccccc1C1=C(O)COC1=O,65000.0
CHEMBL3601586,O=C1OCC(O)=C1c1ccccc1OCc1ccccc1,50000.0
CHEMBL3601587,O=C1OCC(O)=C1c1cccc(F)c1,62000.0
CHEMBL3601588,O=C1OCC(O)=C1c1cccc(Cl)c1,45300.0
CHEMBL3601589,O=C1OCC(O)=C1c1cccc(Br)c1,81800.0
CHEMBL3601590,Cc1cccc(C2=C(O)COC2=O)c1,31100.0
CHEMBL3601591,O=C1OCC(O)=C1c1cccc(C(F)(F)F)c1,64400.0
CHEMBL3601592,O=C1OCC(O)=C1c1cccc(OCc2ccccc2)c1,77500.0
CHEMBL3601593,O=C1OCC(O)=C1c1ccc(F)cc1,40600.0
CHEMBL3601594,O=C1OCC(O)=C1c1ccc(Cl)cc1,100000.0
CHEMBL3601595,O=C1OCC(O)=C1c1ccc(Br)cc1,100000.0
CHEMBL3601596,Cc1ccc(C2=C(O)COC2=O)cc1,100000.0
CHEMBL3601616,O=C1OCC(O)=C1c1ccc(OCc2ccccc2)cc1,10500.0
CHEMBL3601617,O=C1OCC(O)=C1c1ccc(Cl)c(Cl)c1,100000.0
CHEMBL3601618,COc1ccc(C2=C(O)COC2=O)cc1OC,36500.0
CHEMBL3601619,CCOc1ccc(C2=C(O)COC2=O)cc1OCC,91700.0
CHEMBL3601620,O=C1OCC(O)=C1c1ccc(Cl)cc1Cl,100000.0
CHEMBL4177368,O=C(CNc1ccc(Cl)c(Cl)c1)NO,41600.0
CHEMBL4173599,O=C(CNc1cccc(Br)c1)NO,48100.0
CHEMBL4176964,O=C(CNc1cc(Cl)cc(Cl)c1)NO,16900.0
CHEMBL4167553,O=C(CCNc1cc(Cl)cc(Cl)c1)NO,3900.0
CHEMBL4162915,O=C(CCNc1ccccc1Cl)NO,5910.0
CHEMBL4170188,O=C(CCNc1ccc(F)cc1)NO,17900.0
CHEMBL4159556,O=C(CCNc1ccccc1Br)NO,14500.0
CHEMBL4169795,O=C(CCNc1cc(Cl)ccc1Cl)NO,29500.0
CHEMBL4176993,O=C(CCNc1ccc(Cl)c(Cl)c1)NO,38900.0
CHEMBL4172924,O=C(CCNc1ccc(Cl)cc1Cl)NO,140.0
CHEMBL4165823,O=C(CNc1ccc(F)cc1)NO,7410.0
CHEMBL4176109,Cc1cc(C)cc(NCC(=O)NO)c1,2120.0
CHEMBL4163886,COc1ccccc1NCC(=O)NO,152000.0
CHEMBL4161538,COc1cccc(NCC(=O)NO)c1,21810.0
CHEMBL4163847,COc1cc(NCC(=O)NO)cc(OC)c1,2280.0
CHEMBL4171725,O=C(CNc1cccc(Cl)c1Cl)NO,14800.0
CHEMBL4166733,O=C(CNc1ccc(Cl)cc1Cl)NO,66100.0
CHEMBL4170147,O=C(CNc1cccc(Cl)c1)NO,1150.0
